Name;Team;Assists
Tom Brüggemann;Baskets Paderborn;66
Travis Davis;Porsche BBA Ludwigsburg;57
Jonathan Paul Zeisberger;KICKZ IBAM;55
Finn Schwaiger;Medipolis SC Jena;54
Nelson Martin;Hamburg Towers;54
Anton Meyer;Eisbären Bremerhaven;53
Matija Milosevic;KICKZ IBAM;53
Till Heyne;ROTH Energie BBA GIESSEN 46ers;52
Lars Kremer;Bayer Giants Leverkusen;51
Jorke Aav;Team Urspring;50
Thore Dilschmann;UBC Münster;49
Leon Anbinder;Baskets Paderborn;46
Kristian Ortelli;Bamberg freakcity academy;45
Ben-Luca Port;Baskets Paderborn;43
Martin Geuther;Medipolis SC Jena;43
Anton Nufer;Alba Berlin;41
Dorian Grosber;Alba Berlin;40
Simon Kohlhoff;Baskets Juniors Oldenburg;40
Philip Schneck;Team Urspring;37
Jared Grey;Team Urspring;37
Julis Baumer;Porsche BBA Ludwigsburg;36
Miran Evin;Baskets Juniors Oldenburg;35
Aksel Laso;FC Bayern München;35
Lukas Modic;Porsche BBA Ludwigsburg;35
Hendrik Metsa;Medipolis SC Jena;32
Noah Slingerland;Baskets Juniors Oldenburg;31
Noé Bom;Hamburg Towers;29
Jannis Ridder;Baskets Paderborn;28
Danas Kazakevicius;Bamberg freakcity academy;27
Tin Udovicic;KICKZ IBAM;26
Lazar Klaric;Baskets Juniors Oldenburg;26
Damarae Osazuwa Simson;Eisbären Bremerhaven;26
Marko Masic;Porsche BBA Ludwigsburg;26
Edwin Krzeminski;Niners Chemnitz Academy;25
Lennard Glowka;Niners Chemnitz Academy;25
Linus Trettin;Young Rasta Dragons;25
Raphael Falkenthal;Medipolis SC Jena;24
Nikolas Sermpezis;FC Bayern München;24
Oskar Humpert;UBC Münster;24
Karl Bühner;Young Rasta Dragons;23
Luca Kellig;Niners Chemnitz Academy;23
Esli Edigin;Porsche BBA Ludwigsburg;23
Jeremy Julian Kolev;KICKZ IBAM;23
Finn Paris;Baskets Paderborn;23
Christian Mann;ROTH Energie BBA GIESSEN 46ers;22
Epke Kruthaup;Young Rasta Dragons;22
Darren Egbe;Hamburg Towers;22
Radouan Aberkane;Eisbären Bremerhaven;22
Niels Dübener;Bayer Giants Leverkusen;21
Johann Helwig;Baskets Juniors Oldenburg;21
David Sann;ROTH Energie BBA GIESSEN 46ers;21
Alfred Milatz;Niners Chemnitz Academy;21
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;20
Neo Krizanovic;Bamberg freakcity academy;20
Viktor Ludviksson;UBC Münster;20
Jannis Grußendorf;FC Bayern München;19
Danylo Kolesnichenko;Baskets Paderborn;18
Calin Nita;Bayer Giants Leverkusen;18
Jack Kayil;Young Rasta Dragons;18
Johann Grau;Medipolis SC Jena;18
Mats Niggemann;UBC Münster;18
Joshua Bonga;Young Rasta Dragons;18
Jannis Rümer;Bamberg freakcity academy;18
Nevio Bennefeld;Alba Berlin;18
Sebastian Kuhn;Porsche BBA Ludwigsburg;18
Fynn Thure Benzel;Medipolis SC Jena;17
Dominik Dolic;FC Bayern München;17
Justus Waller;Hamburg Towers;17
David Koch;Bayer Giants Leverkusen;17
Felix Zacharias;Niners Chemnitz Academy;17
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;17
Ivan Volf;FC Bayern München;16
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;16
Callum Macaulay;Team Urspring;16
Maximilian zur Linde;Baskets Paderborn;16
Amon Levi Dörries;Alba Berlin;16
Jakub Klobusiak;Niners Chemnitz Academy;16
Joshua Sievers;UBC Münster;16
Jakob Lang;Medipolis SC Jena;16
Denzel Mota;Bamberg freakcity academy;16
Jenö Pildner;Team Urspring;16
Paul Bahn;Alba Berlin;15
Mika Kröner;Bamberg freakcity academy;14
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;14
Moek Icke;Porsche BBA Ludwigsburg;14
Pablo Estelle;Team Urspring;14
Benjamin Jeß;Hamburg Towers;14
Tim Otto;Medipolis SC Jena;14
Colin Schroeder;Baskets Juniors Oldenburg;14
Lennox Groh;UBC Münster;14
Lukas Mutter;Alba Berlin;14
Luka Pesic;FC Bayern München;14
Michel Schillmöller;Young Rasta Dragons;14
Bennett Spree;Baskets Juniors Oldenburg;14
Richard Schmitt;Alba Berlin;13
Dre Odeh;Bayer Giants Leverkusen;12
Moritz Grüß;Young Rasta Dragons;12
Nicola Schultze;Alba Berlin;12
Colin Hartig;Niners Chemnitz Academy;12
Leon Amadou Geißler;Team Urspring;12
Ognjen Cocic;KICKZ IBAM;12
Tim Schnelle;Bayer Giants Leverkusen;12
Djairo Bernardina;Young Rasta Dragons;12
Matteo Petters;FC Bayern München;12
Leonhard Laar;Team Urspring;12
Igor Jokic;Baskets Juniors Oldenburg;11
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;11
Luca May;Medipolis SC Jena;11
Daniel Hinkov;Porsche BBA Ludwigsburg;11
Alexander Vourliotis;Eisbären Bremerhaven;10
Marko Petric;Young Rasta Dragons;10
Yannick Mogalle;Bamberg freakcity academy;10
Noah Palumbo;Bayer Giants Leverkusen;10
Paul Manuel Raabe;Alba Berlin;10
Linus Ruf;Alba Berlin;10
Mathéo Hermann;Alba Berlin;10
Silver Bieling;KICKZ IBAM;9
Leo Hylla;Alba Berlin;9
Caspar Chima Okoro;KICKZ IBAM;9
Christopher Wersien;Eisbären Bremerhaven;9
Noah-Oliver Okah;Bayer Giants Leverkusen;9
Cornelius Meinel;Medipolis SC Jena;8
Maxwell Revell;Eisbären Bremerhaven;8
Angelos Avramidis;Hamburg Towers;8
Jonas Groß;Young Rasta Dragons;8
Julijo Kendes;Team Urspring;8
Jeremey Jason Wontroba;Bayer Giants Leverkusen;8
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;8
Koray Grenz;FC Bayern München;8
Elias Nold;Baskets Juniors Oldenburg;8
Kaloyan Iskrenov Lozanov;Team Urspring;7
Desmond Yiamu;FC Bayern München;7
Stanislav Hinkov;Porsche BBA Ludwigsburg;7
Liam Gföllner;Alba Berlin;7
Karl Haring;Medipolis SC Jena;7
Domenico-Germaine Hansmeier;Baskets Paderborn;7
Jarne Jürgens;Young Rasta Dragons;7
Noah Koch;Young Rasta Dragons;7
Delano Miguel Juma;Niners Chemnitz Academy;7
Julian Günther;Bamberg freakcity academy;7
Mika Tangermann;Hamburg Towers;7
Leo Kirchhoff;UBC Münster;6
Isayah Marcin;FC Bayern München;6
Yannis Steger;Bayer Giants Leverkusen;6
Didier Alphonse Mbida Mengue;FC Bayern München;6
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;6
Lennart Tröppner;Team Urspring;6
Jan Dübener;Bayer Giants Leverkusen;6
Luca von Thun;Eisbären Bremerhaven;6
Noah Liem;UBC Münster;6
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;6
Benjamin Koppke;Niners Chemnitz Academy;6
Leonard Jan Gausa;Hamburg Towers;6
Jonah Lindemann;Eisbären Bremerhaven;6
Philipp Roos;KICKZ IBAM;6
Clemens Bialas;Baskets Paderborn;6
Jayden Estrus Jr. Fatnassi;Hamburg Towers;5
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;5
Daniel Obehi Mack;Porsche BBA Ludwigsburg;5
Muhamad-Adel Soumare Medford;UBC Münster;5
Cheikh Oumar Doucoure;Hamburg Towers;5
Benno Wolf;Bamberg freakcity academy;5
Leopold Schmidt;Medipolis SC Jena;5
Jug Bogdan;Bayer Giants Leverkusen;5
Johannes Hellmann;Young Rasta Dragons;5
Timon Gotsis;KICKZ IBAM;5
Jayson Pfannenstiel;Eisbären Bremerhaven;5
Finn Stuhlmeyer;Baskets Juniors Oldenburg;5
Alen Blakaj;Young Rasta Dragons;5
Tim-Felix Bühren;Young Rasta Dragons;5
Till Galler;Team Urspring;5
Martin Kalu;FC Bayern München;4
Olisaemeka Williams Itumo;KICKZ IBAM;4
Alexander Lehmann;Baskets Paderborn;4
Jonas Pohle;Bayer Giants Leverkusen;4
Ole Schwering;UBC Münster;4
Joshua William Greene;FC Bayern München;4
Lukas Wiegeler;UBC Münster;4
Max Emil Weber;Baskets Paderborn;4
Leonard Menne;Bayer Giants Leverkusen;4
Eren Simbil;Alba Berlin;4
Tim Rothämel;Medipolis SC Jena;4
Gregor Gewinner;Baskets Juniors Oldenburg;4
Ole Sebastiani;Eisbären Bremerhaven;4
Giuliano Aufiero;FC Bayern München;4
Julian Kirchhoff;Baskets Paderborn;4
Laurenz Wulf;Hamburg Towers;4
Jericho Richter;Eisbären Bremerhaven;4
Niklas Schulz;Medipolis SC Jena;4
Tim Nocke;Baskets Juniors Oldenburg;3
Saro Pisacane;Bamberg freakcity academy;3
Lukas Schütz;Porsche BBA Ludwigsburg;3
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;3
Jordan Knacke;KICKZ IBAM;3
#5 Bamberg;Bamberg freakcity academy;3
Ivan Kharchenkov;FC Bayern München;3
Bastian Nückel;Bamberg freakcity academy;3
Daniel Biel;Medipolis SC Jena;3
Jakob Baur;Team Urspring;3
Leonard Dertmann;UBC Münster;3
Niklas Zwanziger;Bamberg freakcity academy;3
Daniel Riedrich;KICKZ IBAM;3
Aleksandar Zecevic;Baskets Juniors Oldenburg;3
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;3
Norwin Gumbinger;KICKZ IBAM;3
Finn-Friedrich Flasche;Alba Berlin;3
Timon Hoffmann;Baskets Paderborn;3
Karl Heinz Kleine Holthaus;Young Rasta Dragons;3
Dominic Mack;Porsche BBA Ludwigsburg;3
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;2
Ari von Wiegen;Alba Berlin;2
Linus Jürgens;Baskets Paderborn;2
Ole Werker;Bayer Giants Leverkusen;2
Fabian Kayser;Baskets Paderborn;2
Jan Jesgarzewski;Eisbären Bremerhaven;2
Eduard Rantz;FC Bayern München;2
Jan Mausolf;Bamberg freakcity academy;2
Jonas Mendl;Bamberg freakcity academy;2
Kilian Walter;Bamberg freakcity academy;2
Mateja Pivnicki;Team Urspring;2
Paul Schmorleiz;Alba Berlin;2
Tom Wübben;Baskets Paderborn;2
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;2
Alexios Kyriakidis;Medipolis SC Jena;2
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;2
Bar Amiel;Bamberg freakcity academy;2
Alan Topic Volovec;FC Bayern München;2
Gido Nanninga;Baskets Juniors Oldenburg;2
Maximilian Eichbaum;Bamberg freakcity academy;2
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;2
#17Giessen;ROTH Energie BBA GIESSEN 46ers;2
Noah Kagiso Batsile;Eisbären Bremerhaven;2
Jonathan Elzie;Hamburg Towers;2
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;1
Leonard Kant;Porsche BBA Ludwigsburg;1
Ben Denkena;Baskets Juniors Oldenburg;1
Maurice Reiter;Alba Berlin;1
Noe Baucks;Baskets Paderborn;1
Osaigbovo Idehen Aguebor;Baskets Paderborn;1
Ruben Köster;Baskets Juniors Oldenburg;1
#0Giessen;ROTH Energie BBA GIESSEN 46ers;1
#6Bremerhaven;Eisbären Bremerhaven;1
Mattia Probst;Team Urspring;1
Mathieu Adovi-Ley;Hamburg Towers;1
Gunnar Wanninger;KICKZ IBAM;1
Ben Hebling;KICKZ IBAM;1
Max Riedel;Alba Berlin;1
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;1
Maj Dolinsek;KICKZ IBAM;1
Ben Reinhardt;Medipolis SC Jena;1
Felix Holzer;KICKZ IBAM;1
Pedja Labus;Bayer Giants Leverkusen;1
Alfons Milatz;Niners Chemnitz Academy;1
Noah Bakker;Eisbären Bremerhaven;1
Lukas Klein;Bayer Giants Leverkusen;1
Felix Egger;Bamberg freakcity academy;1
Namik Muratovic;FC Bayern München;1
Leander Nzume;Baskets Juniors Oldenburg;1
Thai Bui;Niners Chemnitz Academy;1
Laurens Rieping;UBC Münster;1
Robin Kurr;FC Bayern München;1
Jonte Elias Heßling;Eisbären Bremerhaven;1
Jonatan Kunze;Niners Chemnitz Academy;1
Anton Kemmer;Alba Berlin;1
Paul Viefhues;UBC Münster;1
Leander Werner;Niners Chemnitz Academy;1
Henning Rosemeyer;Young Rasta Dragons;1
Yari Monninkhoff;Alba Berlin;1
Leon Martinez;KICKZ IBAM;1
Jacques Achard;Medipolis SC Jena;0
Jan Alexander Matern;Hamburg Towers;0
Matteo Sattler;Bamberg freakcity academy;0
Timo Wachsmuth;Bamberg freakcity academy;0
#4Bremerhaven;Eisbären Bremerhaven;0
Jonathan Deutsch;Niners Chemnitz Academy;0
Jarno Wallrafen;UBC Münster;0
Noah Spindler;Niners Chemnitz Academy;0
Marko Volf;FC Bayern München;0
Leon Schneider;Bamberg freakcity academy;0
Nikola Pecanac;FC Bayern München;0
Jules Victor Apollon Galvani;Hamburg Towers;0
Julius Lehmann;Niners Chemnitz Academy;0
David Galusic;FC Bayern München;0
Moritz Renner;KICKZ IBAM;0
Lukas Probst;Medipolis SC Jena;0
Kilian Dück;FC Bayern München;0
Ikechukwu Nicodemus Onyekwere;KICKZ IBAM;0
Schilo Kabongo;Bayer Giants Leverkusen;0
Henry Hollander;Eisbären Bremerhaven;0
#1Towers;Hamburg Towers;0
Erik Niggemann;UBC Münster;0
#9Alba;Alba Berlin;0
Seny Thiaw;Bayer Giants Leverkusen;0
Paul Luis Schwabe;Young Rasta Dragons;0
Vaclav Nosek;Team Urspring;0
Armin Nahreyni;Bayer Giants Leverkusen;0
Tobias Kamp;Bayer Giants Leverkusen;0
Sheriff-Mustapha Jameh;Eisbären Bremerhaven;0
Daniel Christian Selck;Hamburg Towers;0
Matteo Schultz;Medipolis SC Jena;0
Paul Rüß;Hamburg Towers;0
Anton Haverkamp;UBC Münster;0
Julian Eugene Glenewinkel;FC Bayern München;0
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;0
Aaron Rehberger;Young Rasta Dragons;0
Frederik Selzer;Bayer Giants Leverkusen;0
Christopher Wahren;Niners Chemnitz Academy;0
Noah Asamoah;Alba Berlin;0
Lars Schröder;Baskets Juniors Oldenburg;0
Tim Sauer;Bamberg freakcity academy;0
