Name;Team;Steals
Lukas Modic;Porsche BBA Ludwigsburg;37
Simon Kohlhoff;Baskets Juniors Oldenburg;35
Anton Meyer;Eisbären Bremerhaven;33
Nelson Martin;Hamburg Towers;33
Lars Kremer;Bayer Giants Leverkusen;33
Matija Milosevic;KICKZ IBAM;32
Martin Geuther;Medipolis SC Jena;31
Johann Helwig;Baskets Juniors Oldenburg;31
Jannis Ridder;Baskets Paderborn;30
Leon Anbinder;Baskets Paderborn;28
Karl Bühner;Young Rasta Dragons;28
Noé Bom;Hamburg Towers;27
Detwan Andrews;ROTH Energie BBA GIESSEN 46ers;27
Till Heyne;ROTH Energie BBA GIESSEN 46ers;26
Jared Grey;Team Urspring;25
Ben-Luca Port;Baskets Paderborn;25
Thore Dilschmann;UBC Münster;25
Sebastian Schwachhofer;Porsche BBA Ludwigsburg;25
Dre Odeh;Bayer Giants Leverkusen;23
Julis Baumer;Porsche BBA Ludwigsburg;22
Philip Schneck;Team Urspring;22
Nikolas Sermpezis;FC Bayern München;21
Dorian Grosber;Alba Berlin;20
Darren Egbe;Hamburg Towers;20
Viktor Ludviksson;UBC Münster;19
Finn Schwaiger;Medipolis SC Jena;19
Desmond Yiamu;FC Bayern München;19
Noah Koch;Young Rasta Dragons;19
Kristian Ortelli;Bamberg freakcity academy;19
Justus Waller;Hamburg Towers;19
Jorke Aav;Team Urspring;19
Moek Icke;Porsche BBA Ludwigsburg;18
Marko Masic;Porsche BBA Ludwigsburg;18
Jonathan Paul Zeisberger;KICKZ IBAM;18
Linus Trettin;Young Rasta Dragons;18
Travis Davis;Porsche BBA Ludwigsburg;17
Luca Kellig;Niners Chemnitz Academy;17
Mats Niggemann;UBC Münster;17
Jakob Lang;Medipolis SC Jena;17
Tom Brüggemann;Baskets Paderborn;17
Damarae Osazuwa Simson;Eisbären Bremerhaven;17
Amon Levi Dörries;Alba Berlin;16
Jeremy Julian Kolev;KICKZ IBAM;16
Bennett Spree;Baskets Juniors Oldenburg;16
Jannis Grußendorf;FC Bayern München;16
Jack Kayil;Young Rasta Dragons;16
Igor Jokic;Baskets Juniors Oldenburg;16
Djairo Bernardina;Young Rasta Dragons;16
Raphael Falkenthal;Medipolis SC Jena;15
Felix Zacharias;Niners Chemnitz Academy;15
Anton Nufer;Alba Berlin;15
Aksel Laso;FC Bayern München;15
Lazar Klaric;Baskets Juniors Oldenburg;15
David Koch;Bayer Giants Leverkusen;15
Yannis Steger;Bayer Giants Leverkusen;15
Jonah Lindemann;Eisbären Bremerhaven;15
Jenö Pildner;Team Urspring;15
Nevio Bennefeld;Alba Berlin;14
Pablo Estelle;Team Urspring;14
Noah Slingerland;Baskets Juniors Oldenburg;14
Johannes Hellmann;Young Rasta Dragons;14
Hendrik Metsa;Medipolis SC Jena;14
Lennard Glowka;Niners Chemnitz Academy;14
Jeremey Jason Wontroba;Bayer Giants Leverkusen;14
Benjamin Jeß;Hamburg Towers;13
Radouan Aberkane;Eisbären Bremerhaven;13
Tim Schnelle;Bayer Giants Leverkusen;13
Callum Macaulay;Team Urspring;13
Lennox Groh;UBC Münster;12
Tim Otto;Medipolis SC Jena;12
Paul Bahn;Alba Berlin;12
Matteo Petters;FC Bayern München;12
Mika Kröner;Bamberg freakcity academy;12
Cheikh Oumar Doucoure;Hamburg Towers;12
Moritz Grüß;Young Rasta Dragons;12
Christian Mann;ROTH Energie BBA GIESSEN 46ers;12
Colin Schroeder;Baskets Juniors Oldenburg;11
Fynn Thure Benzel;Medipolis SC Jena;11
Miran Evin;Baskets Juniors Oldenburg;11
Ognjen Cocic;KICKZ IBAM;11
Neo Krizanovic;Bamberg freakcity academy;11
Oskar Humpert;UBC Münster;11
Colin Hartig;Niners Chemnitz Academy;11
Finn Paris;Baskets Paderborn;11
Epke Kruthaup;Young Rasta Dragons;10
Alexander Vourliotis;Eisbären Bremerhaven;10
Benjamin Koppke;Niners Chemnitz Academy;10
Alfred Milatz;Niners Chemnitz Academy;10
Armin Durakovic;ROTH Energie BBA GIESSEN 46ers;10
Tin Udovicic;KICKZ IBAM;10
Ivan Volf;FC Bayern München;10
Jannis Rümer;Bamberg freakcity academy;10
Niels Dübener;Bayer Giants Leverkusen;10
Danas Kazakevicius;Bamberg freakcity academy;10
Maximilian zur Linde;Baskets Paderborn;10
Joshua Sievers;UBC Münster;10
Johann Grau;Medipolis SC Jena;10
Abdulhay Kömürkara;Porsche BBA Ludwigsburg;9
Christopher Wersien;Eisbären Bremerhaven;9
Tim Nocke;Baskets Juniors Oldenburg;9
Edwin Krzeminski;Niners Chemnitz Academy;9
Esli Edigin;Porsche BBA Ludwigsburg;9
Leon Amadou Geißler;Team Urspring;9
Paul Manuel Raabe;Alba Berlin;9
Michel Schillmöller;Young Rasta Dragons;9
Joshua Bonga;Young Rasta Dragons;9
Yannick Mogalle;Bamberg freakcity academy;8
Caspar Chima Okoro;KICKZ IBAM;8
Leonard Jan Gausa;Hamburg Towers;8
Nicola Schultze;Alba Berlin;8
Jayden Estrus Jr. Fatnassi;Hamburg Towers;8
Jonas Pohle;Bayer Giants Leverkusen;8
Daniel Biel;Medipolis SC Jena;8
Giuliano Aufiero;FC Bayern München;8
Luca May;Medipolis SC Jena;8
Raphael Wöllenstein;ROTH Energie BBA GIESSEN 46ers;7
Dominik Dolic;FC Bayern München;7
Maxwell Revell;Eisbären Bremerhaven;7
Jordan Knacke;KICKZ IBAM;7
Olisaemeka Williams Itumo;KICKZ IBAM;7
Mika Tangermann;Hamburg Towers;7
Silver Bieling;KICKZ IBAM;7
Noah Palumbo;Bayer Giants Leverkusen;7
Linus Ruf;Alba Berlin;7
Leo Kirchhoff;UBC Münster;7
Tim-Felix Bühren;Young Rasta Dragons;7
Delano Miguel Juma;Niners Chemnitz Academy;7
Max Emil Weber;Baskets Paderborn;7
David Sann;ROTH Energie BBA GIESSEN 46ers;7
Bruno Jacob Wollmann;ROTH Energie BBA GIESSEN 46ers;6
Joshua William Greene;FC Bayern München;6
Lukas Mutter;Alba Berlin;6
Julijo Kendes;Team Urspring;6
Finn-Friedrich Flasche;Alba Berlin;6
Noah Liem;UBC Münster;6
Angelos Avramidis;Hamburg Towers;6
Noe Baucks;Baskets Paderborn;6
Denzel Mota;Bamberg freakcity academy;6
Lukas Wiegeler;UBC Münster;6
Leander Nzume;Baskets Juniors Oldenburg;6
Jonas Groß;Young Rasta Dragons;6
Mathéo Hermann;Alba Berlin;6
Laurenz Wulf;Hamburg Towers;6
Daniel Hinkov;Porsche BBA Ludwigsburg;6
Calin Nita;Bayer Giants Leverkusen;6
Leo Hylla;Alba Berlin;5
Eren Simbil;Alba Berlin;5
Stanislav Hinkov;Porsche BBA Ludwigsburg;5
Luka Pesic;FC Bayern München;5
Daniel Riedrich;KICKZ IBAM;5
Didier Alphonse Mbida Mengue;FC Bayern München;5
Alexander Lehmann;Baskets Paderborn;5
Jericho Richter;Eisbären Bremerhaven;5
Ole Sebastiani;Eisbären Bremerhaven;5
Finn Stuhlmeyer;Baskets Juniors Oldenburg;5
Marko Petric;Young Rasta Dragons;5
Luca von Thun;Eisbären Bremerhaven;5
Philipp Roos;KICKZ IBAM;5
Leonhard Laar;Team Urspring;5
Jakub Klobusiak;Niners Chemnitz Academy;5
Jonathan Elzie;Hamburg Towers;5
Leonard Dertmann;UBC Münster;5
Ivan Kharchenkov;FC Bayern München;4
Jasper Hegele;ROTH Energie BBA GIESSEN 46ers;4
Jarne Jürgens;Young Rasta Dragons;4
Linus Jürgens;Baskets Paderborn;4
Isaiah Javante Batiste;ROTH Energie BBA GIESSEN 46ers;4
Kai Müsse;ROTH Energie BBA GIESSEN 46ers;4
Jonte Elias Heßling;Eisbären Bremerhaven;4
Richard Schmitt;Alba Berlin;4
Jug Bogdan;Bayer Giants Leverkusen;4
Pedja Labus;Bayer Giants Leverkusen;4
Ben Denkena;Baskets Juniors Oldenburg;4
Silian Felix Bonacker;ROTH Energie BBA GIESSEN 46ers;4
Danylo Kolesnichenko;Baskets Paderborn;4
Paul Viefhues;UBC Münster;4
Elias Nold;Baskets Juniors Oldenburg;4
Koray Grenz;FC Bayern München;4
Timon Gotsis;KICKZ IBAM;4
Dominic Mack;Porsche BBA Ludwigsburg;4
Cornelius Meinel;Medipolis SC Jena;4
Mathieu Adovi-Ley;Hamburg Towers;3
Noah Bakker;Eisbären Bremerhaven;3
Muhamad-Adel Soumare Medford;UBC Münster;3
Lukas Probst;Medipolis SC Jena;3
Noah-Oliver Okah;Bayer Giants Leverkusen;3
Bar Amiel;Bamberg freakcity academy;3
Viktor Lukic-Gavric;Baskets Juniors Oldenburg;3
Jan Mausolf;Bamberg freakcity academy;3
Timon Hoffmann;Baskets Paderborn;3
Gido Nanninga;Baskets Juniors Oldenburg;3
Domenico-Germaine Hansmeier;Baskets Paderborn;3
Robin Kurr;FC Bayern München;3
Tom Wübben;Baskets Paderborn;2
Paul Schmorleiz;Alba Berlin;2
Clemens Bialas;Baskets Paderborn;2
Erik Niggemann;UBC Münster;2
Ari von Wiegen;Alba Berlin;2
Osaigbovo Idehen Aguebor;Baskets Paderborn;2
Julian Kirchhoff;Baskets Paderborn;2
Ben Hebling;KICKZ IBAM;2
Alan Topic Volovec;FC Bayern München;2
Dariusz Blank;ROTH Energie BBA GIESSEN 46ers;2
Julian Günther;Bamberg freakcity academy;2
Sebastian Kuhn;Porsche BBA Ludwigsburg;2
#17Giessen;ROTH Energie BBA GIESSEN 46ers;2
Eduard Rantz;FC Bayern München;2
Max Riedel;Alba Berlin;2
Tim Rothämel;Medipolis SC Jena;2
Alen Blakaj;Young Rasta Dragons;2
Leonard Menne;Bayer Giants Leverkusen;2
Leopold Schmidt;Medipolis SC Jena;2
Gunnar Wanninger;KICKZ IBAM;2
Saro Pisacane;Bamberg freakcity academy;2
Leander Werner;Niners Chemnitz Academy;2
Schilo Kabongo;Bayer Giants Leverkusen;2
Norwin Gumbinger;KICKZ IBAM;2
Karl Johan Vändra;ROTH Energie BBA GIESSEN 46ers;2
Liam Gföllner;Alba Berlin;2
Louis Jakob Sutor;ROTH Energie BBA GIESSEN 46ers;2
Isayah Marcin;FC Bayern München;2
Kaloyan Iskrenov Lozanov;Team Urspring;2
Anton Kemmer;Alba Berlin;1
Bastian Nückel;Bamberg freakcity academy;1
Karl Haring;Medipolis SC Jena;1
Maximilian Eichbaum;Bamberg freakcity academy;1
Ruben Köster;Baskets Juniors Oldenburg;1
Felix Holzer;KICKZ IBAM;1
Paul Luis Schwabe;Young Rasta Dragons;1
Yari Monninkhoff;Alba Berlin;1
Niklas Schulz;Medipolis SC Jena;1
Jayson Pfannenstiel;Eisbären Bremerhaven;1
Jakob Baur;Team Urspring;1
#0Giessen;ROTH Energie BBA GIESSEN 46ers;1
Daniel Obehi Mack;Porsche BBA Ludwigsburg;1
Frederik Selzer;Bayer Giants Leverkusen;1
Laurens Rieping;UBC Münster;1
Martin Kalu;FC Bayern München;1
Gregor Gewinner;Baskets Juniors Oldenburg;1
Lukas Schütz;Porsche BBA Ludwigsburg;1
#6Bremerhaven;Eisbären Bremerhaven;1
Karl Heinz Kleine Holthaus;Young Rasta Dragons;1
Jonatan Kunze;Niners Chemnitz Academy;1
Julius Lehmann;Niners Chemnitz Academy;1
Jonas Mendl;Bamberg freakcity academy;1
Benno Wolf;Bamberg freakcity academy;1
Lennart Tröppner;Team Urspring;1
Mateja Pivnicki;Team Urspring;1
Till Galler;Team Urspring;1
Jan Dübener;Bayer Giants Leverkusen;1
Tim Sauer;Bamberg freakcity academy;1
Leon Martinez;KICKZ IBAM;1
Jordan Juel Lockhart;ROTH Energie BBA GIESSEN 46ers;1
Ole Schwering;UBC Münster;1
Mattia Probst;Team Urspring;1
Noah Spindler;Niners Chemnitz Academy;1
Namik Muratovic;FC Bayern München;1
Vaclav Nosek;Team Urspring;1
Armin Nahreyni;Bayer Giants Leverkusen;1
Marko Volf;FC Bayern München;0
Jan Jesgarzewski;Eisbären Bremerhaven;0
Jarno Wallrafen;UBC Münster;0
Leon Schneider;Bamberg freakcity academy;0
Aaron Rehberger;Young Rasta Dragons;0
Fabian Kayser;Baskets Paderborn;0
Ikechukwu Nicodemus Onyekwere;KICKZ IBAM;0
Ole Werker;Bayer Giants Leverkusen;0
Tobias Kamp;Bayer Giants Leverkusen;0
Noah Kagiso Batsile;Eisbären Bremerhaven;0
Nikola Pecanac;FC Bayern München;0
Seny Thiaw;Bayer Giants Leverkusen;0
Alfons Milatz;Niners Chemnitz Academy;0
Moritz Renner;KICKZ IBAM;0
Felix Egger;Bamberg freakcity academy;0
Henry Hollander;Eisbären Bremerhaven;0
#4Bremerhaven;Eisbären Bremerhaven;0
Aleksandar Zecevic;Baskets Juniors Oldenburg;0
Kilian Dück;FC Bayern München;0
Christopher Wahren;Niners Chemnitz Academy;0
Lars Schröder;Baskets Juniors Oldenburg;0
Noah Asamoah;Alba Berlin;0
Jan Alexander Matern;Hamburg Towers;0
Maximilian Bartylak;ROTH Energie BBA GIESSEN 46ers;0
Jonathan Deutsch;Niners Chemnitz Academy;0
Niklas Zwanziger;Bamberg freakcity academy;0
Anton Haverkamp;UBC Münster;0
Kilian Walter;Bamberg freakcity academy;0
David Galusic;FC Bayern München;0
Lukas Klein;Bayer Giants Leverkusen;0
Leonard Kant;Porsche BBA Ludwigsburg;0
Jules Victor Apollon Galvani;Hamburg Towers;0
Maurice Reiter;Alba Berlin;0
Jacques Achard;Medipolis SC Jena;0
#10 Giessen;ROTH Energie BBA GIESSEN 46ers;0
Julian Eugene Glenewinkel;FC Bayern München;0
Thai Bui;Niners Chemnitz Academy;0
Alexios Kyriakidis;Medipolis SC Jena;0
Sheriff-Mustapha Jameh;Eisbären Bremerhaven;0
Daniel Christian Selck;Hamburg Towers;0
Matteo Schultz;Medipolis SC Jena;0
Timo Wachsmuth;Bamberg freakcity academy;0
Henning Rosemeyer;Young Rasta Dragons;0
Matteo Sattler;Bamberg freakcity academy;0
#5 Bamberg;Bamberg freakcity academy;0
Niklas Bertram;ROTH Energie BBA GIESSEN 46ers;0
#1Towers;Hamburg Towers;0
Ben Reinhardt;Medipolis SC Jena;0
#9Alba;Alba Berlin;0
Maj Dolinsek;KICKZ IBAM;0
Paul Rüß;Hamburg Towers;0
